trial_id,dilemma_idx,scenario,action_left,action_right,action_left_type,action_right_type,source,source_label,gpt4_label,human_label,topic_group
1,1755,"You're a talented surgeon known for your unrivaled skills in the operating room. Despite feeling unwell, you decide to proceed with a complex operation because you're confident in your abilities and there's no other surgeon available at the moment. Should you risk the patient's life by going ahead with the surgery despite your condition?",Proceed with the operation,Refuse to do the operation,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,role_duty_responsibility
2,38858,"You're at a networking event and meet a new person who is interested in your company. They mention they're considering a job offer from your company's direct competitor. Should you promote your company's benefits and potentially sway them away from the competitor, even if it might not be the best fit for them?",Not promoting your company's benefits,Promoting your company's benefits,not_to_do,to_do,Human,to_do,to_do,to_do,business_organization
3,48359,"You have been best friends with someone since childhood, but recently they have developed a drug addiction. It is causing significant harm to your mental health, but you fear leaving them alone might exacerbate their situation. Should you cut ties for your own wellbeing or stay and endure the negative effects for their sake?",Cut Ties,Stay and Endure,to_do,not_to_do,AI,to_do,to_do,to_do,issue_crime_addiction
4,17841,"As an art critic, you are known for your brutal honesty. You recently attended an exhibition of a struggling artist and found their work mediocre. Should you write a scathing review potentially damaging their early career or soften your critique, compromising your honesty?",Softening critique,Writing a harsh review,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_personal_career
5,38146,"You are an artist who has been struggling financially. Your friend, who is aware of your situation, offers you a large sum of money to help you out. Should you accept the money knowing it could significantly ease your financial burden, but possibly damage your friendship due to the power dynamic it could create?",Decline the Money,Accept the Money,not_to_do,to_do,AI,to_do,to_do,to_do,issue_personal_career
6,14932,"John and Sam are best friends who have always used foul language casually between them. However, when John uses it in front of Sam's new girlfriend, it makes her uncomfortable. Should John continue to speak the same way considering his friendship with Sam, or should he adjust his language out of respect for Sam's girlfriend?",Continue Using Foul Language,Stop Using Foul Language,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,close_relationship
7,30710,"A group of explorers is on an expedition to an uncharted island. They discover an endangered species of animal that could yield important scientific information, but capturing it for study may risk its survival. Should they capture the animal for the sake of scientific advancement or leave it unharmed?",Capture the Endangered Animal,Leave the Endangered Animal,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,friend
8,26714,"As a parent, you have always believed in teaching respect through strict discipline and obedience. However, your spouse believes in teaching respect through understanding, empathy, and freedom to make mistakes. Should you stick to your method of discipline even if it might create a rift between you and your spouse, or consider your spouse's approach and risk disobedience from your children?",Stick to strict discipline,Consider spouse's method,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,family
9,35204,"Many people use social media to express their opinions and beliefs freely. However, some of these opinions can be harmful or offensive to certain groups of people. Should an individual be allowed to post any content they want, even if it could potentially harm others?",Not posting any content,Posting offensive content,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_self_image_social
10,24740,"John and his wife, Mary, have been trying to have a child for years without success. John finds out that he is infertile and is overwhelmed with guilt, thinking about secretly undergoing fertility treatments without telling Mary. Should John go through the fertility treatments without informing his wife, or should he confess to her about his infertility?",Not confessing to Mary about his infertility,Undergoing fertility treatments without telling Mary,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,issue_pregnancy
